No,Bulan,Tonase (Ton),Ritasi (Rit),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp),Tahun
1,Januari,28695.81,6901,1384246500,307911975,2017
2,Februari,25235.73,6065,1215454500,270323175,2017
3,Maret,27581.19,6653,1325941500,295281225,2017
4,April,29664.735,6264,1430830450,305629567,2017
5,Mei,34637.092,6761,1670736200,348815430,2017
6,Juni,33537.532,6598,1622184200,339417630,2017
7,Juli,36864.296,7271,1843214800,385547220,2017
8,Agustus,37320.304,7355,1866015200,390227280,2017
9,September,36420.664,7161,1821033200,380569980,2017
10,Oktober,37908.64,7472,1895432000,396394800,2017
11,November,36657.236,7201,1832861800,382944270,2017
12,Desember,37410.268,7371,1870513400,391142010,2017
1,Januari,38313.716,7588,1915685800,401172870,2018
2,Februari,35883.26,7086,1794163000,375414450,2018
3,Maret,38719.268,7687,1935963400,405699510,2018
4,April,37898.168,7571,1894908400,397801260,2018
5,Mei,39593.204,7859,1979660200,414834030,2018
6,Juni,37230.816,7402,1861540800,390261120,2018
7,Juli,41104.028,8168,2055201400,430800210,2018
8,Agustus,40345.962,8118,2017298100,424364715,2018
9,September,37861.02,7915,1893051000,402682650,2018
10,Oktober,40297.166,8304,2014858300,426788745,2018
11,November,41560.446,7942,2078022300,430833345,2018
12,Desember,41550.608,8297,2077530400,436084560,2018
1,Januari,41818.504,8404,2090925200,439698780,2019
2,Februari,36800.036,7425,1840001800,387375270,2019
3,Maret,40453.812,8187,2022690600,426208590,2019
4,April,38104.752,7672,1905237600,400865640,2019
5,Mei,40669.44,8167,2033472000,427525800,2019
6,Juni,38462.228,7708,1923111400,404086710,2019
7,Juli,42520.604,8522,2126030200,446734530,2019
8,Agustus,41228.58,8249,2061429000,432949350,2019
9,September,40997.49,8168,2049874500,430001175,2019
10,Oktober,43576.848,8610,2178842400,455976360,2019
11,November,41633.19,8242,2081659500,435878925,2019
12,Desember,42840.952,8447,2142047600,448012140,2019
1,Januari,42785.736,8430,2139286800,320893020,2020
2,Februari,38458.896,7633,1922944800,288441720,2020
3,Maret,41679.512,8235,2083975600,312596340,2020
4,April,39297.132,7775,1964856600,294728490,2020
5,Mei,38331.328,7566,1916566400,400974960,2020
6,Juni,39944.781,7865,1997239050,417560857,2020
7,Juli,41369.636,8193,2068481800,433167270,2020
8,Agustus,41294.428,8146,2064721400,431898210,2020
9,September,41191.136,8117,2059556800,430688520,2020
10,Oktober,41938.39,8306,2096919500,439127925,2020
11,November,40327.672,7986,2016383600,422247540,2020
12,Desember,42042.7,8307,2102135000,439925250,2020
1,Januari,41060.712,8034,2053035600,428465340,2021
2,Februari,37494.044,7238,1874702200,389775330,2021
3,Maret,40727.04,7882,2036352000,423682800,2021
4,April,39645.088,7661,1982254400,412253160,2021
5,Mei,38754.492,7457,1937724600,402513690,2021
6,Juni,38909.668,7472,1945483400,403902510,2021
7,Juli,40678.484,7805,2033924200,422163630,2021
8,Agustus,40889.352,7820,2044467600,423970140,2021
9,September,39727.436,7644,1986371800,412615770,2021
10,Oktober,39933.068,7731,1996653400,415463010,2021
11,November,32962.524,6200,1648126200,340218930,2021
12,Desember,36221.22,6962,1811061000,376089150,2021
