No,Bulan,Tonase(Ton),Ritasi (Rit),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp)
1,Januari,28695.81,6901,1384246500,307911975
2,Februari,25235.73,6065,1215454500,270323175
3,Maret,27581.19,6653,1325941500,295281225
4,April,29664.735,6264,1430830450,305629567
5,Mei,34637.092,6761,1670736200,348815430
6,Juni,33537.532,6598,1622184200,339417630
7,Juli,36864.296,7271,1843214800,385547220
8,Agustus,37320.304,7355,1866015200,390227280
9,September,36420.664,7161,1821033200,380569980
10,Oktober,37908.64,7472,1895432000,396394800
11,November,36657.236,7201,1832861800,382944270
12,Desember,37410.268,7371,1870513400,391142010
