No,Bulan,Tonase (Ton),Ritasi (Rit),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp)
1,Januari,38313.716,7588,1915685800,401172870
2,Februari,35883.26,7086,1794163000,375414450
3,Maret,38719.268,7687,1935963400,405699510
4,April,37898.168,7571,1894908400,397801260
5,Mei,39593.204,7859,1979660200,414834030
6,Juni,37230.816,7402,1861540800,390261120
7,Juli,41104.028,8168,2055201400,430800210
8,Agustus,40345.962,8118,2017298100,424364715
9,September,37861.02,7915,1893051000,402682650
10,Oktober,40297.166,8304,2014858300,426788745
11,November,41560.446,7942,2078022300,430833345
12,Desember,41550.608,8297,2077530400,436084560
