No,Bulan,Tahun,Tonase (Ton),KenaikanPenurunanTonase (Ton),KenaikanPenurunanTonase (%),Ritasi (Rit),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp),UMK Kota Bandung (Rp),Rata-rata Pengeluaran Perkapita Sebulan (Rp)
1,Januari,2017,28695.81,,,6901,1384246500,307911975,2843662,1491757
2,Februari,2017,25235.73,-3460.0800000000017,-12.06,6065,1215454500,270323175,2843662,1491757
3,Maret,2017,27581.19,2345.459999999999,9.29,6653,1325941500,295281225,2843662,1491757
4,April,2017,29664.735,2083.545000000002,7.55,6264,1430830450,305629567,2843662,1491757
5,Mei,2017,34637.092,4972.356999999996,16.76,6761,1670736200,348815430,2843662,1491757
6,Juni,2017,33537.532,-1099.5599999999977,-3.17,6598,1622184200,339417630,2843662,1491757
7,Juli,2017,36864.296,3326.764000000003,9.92,7271,1843214800,385547220,2843662,1491757
8,Agustus,2017,37320.304,456.00799999999435,1.24,7355,1866015200,390227280,2843662,1491757
9,September,2017,36420.664,-899.6399999999994,-2.41,7161,1821033200,380569980,2843662,1491757
10,Oktober,2017,37908.64,1487.9760000000024,4.09,7472,1895432000,396394800,2843662,1491757
11,November,2017,36657.236,-1251.4040000000023,-3.3,7201,1832861800,382944270,2843662,1491757
12,Desember,2017,37410.268,753.0319999999992,2.05,7371,1870513400,391142010,2843662,1491757
1,Januari,2018,38313.716,903.448000000004,2.41,7588,1915685800,401172870,3091345,1550533
2,Februari,2018,35883.26,-2430.4559999999983,-6.34,7086,1794163000,375414450,3091345,1550533
3,Maret,2018,38719.268,2836.0079999999944,7.9,7687,1935963400,405699510,3091345,1550533
4,April,2018,37898.168,-821.0999999999985,-2.12,7571,1894908400,397801260,3091345,1550533
5,Mei,2018,39593.204,1695.036,4.47,7859,1979660200,414834030,3091345,1550533
6,Juni,2018,37230.816,-2362.387999999999,-5.97,7402,1861540800,390261120,3091345,1550533
7,Juli,2018,41104.028,3873.2119999999995,10.4,8168,2055201400,430800210,3091345,1550533
8,Agustus,2018,40345.962,-758.0659999999989,-1.84,8118,2017298100,424364715,3091345,1550533
9,September,2018,37861.02,-2484.9420000000027,-6.16,7915,1893051000,402682650,3091345,1550533
10,Oktober,2018,40297.166,2436.1460000000006,6.43,8304,2014858300,426788745,3091345,1550533
11,November,2018,41560.446,1263.280000000006,3.13,7942,2078022300,430833345,3091345,1550533
12,Desember,2018,41550.608,-9.838000000003376,-0.02,8297,2077530400,436084560,3091345,1550533
1,Januari,2019,41818.504,267.89600000000064,0.64,8404,2090925200,439698780,3339580,1974339
2,Februari,2019,36800.036,-5018.468000000001,-12.0,7425,1840001800,387375270,3339580,1974339
3,Maret,2019,40453.812,3653.775999999998,9.93,8187,2022690600,426208590,3339580,1974339
