Date,Series,Bulan,Tahun,Tonase (Ton),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp)
2017-01-01,1,1,2017,28695.81,1384246500,307911975
2017-02-01,2,2,2017,25235.73,1215454500,270323175
2017-03-01,3,3,2017,27581.19,1325941500,295281225
2017-04-01,4,4,2017,29664.735,1430830450,305629567
2017-05-01,5,5,2017,34637.092,1670736200,348815430
2017-06-01,6,6,2017,33537.532,1622184200,339417630
2017-07-01,7,7,2017,36864.296,1843214800,385547220
2017-08-01,8,8,2017,37320.304,1866015200,390227280
2017-09-01,9,9,2017,36420.664,1821033200,380569980
2017-10-01,10,10,2017,37908.64,1895432000,396394800
2017-11-01,11,11,2017,36657.236,1832861800,382944270
2017-12-01,12,12,2017,37410.268,1870513400,391142010
2018-01-01,13,1,2018,38313.716,1915685800,401172870
2018-02-01,14,2,2018,35883.26,1794163000,375414450
2018-03-01,15,3,2018,38719.268,1935963400,405699510
2018-04-01,16,4,2018,37898.168,1894908400,397801260
2018-05-01,17,5,2018,39593.204,1979660200,414834030
2018-06-01,18,6,2018,37230.816,1861540800,390261120
2018-07-01,19,7,2018,41104.028,2055201400,430800210
2018-08-01,20,8,2018,40345.962,2017298100,424364715
2018-09-01,21,9,2018,37861.02,1893051000,402682650
2018-10-01,22,10,2018,40297.166,2014858300,426788745
2018-11-01,23,11,2018,41560.446,2078022300,430833345
2018-12-01,24,12,2018,41550.608,2077530400,436084560
2019-01-01,25,1,2019,41818.504,2090925200,439698780
2019-02-01,26,2,2019,36800.036,1840001800,387375270
2019-03-01,27,3,2019,40453.812,2022690600,426208590
2019-04-01,28,4,2019,38104.752,1905237600,400865640
2019-05-01,29,5,2019,40669.44,2033472000,427525800
2019-06-01,30,6,2019,38462.228,1923111400,404086710
2019-07-01,31,7,2019,42520.604,2126030200,446734530
2019-08-01,32,8,2019,41228.58,2061429000,432949350
2019-09-01,33,9,2019,40997.49,2049874500,430001175
2019-10-01,34,10,2019,43576.848,2178842400,455976360
2019-11-01,35,11,2019,41633.19,2081659500,435878925
2019-12-01,36,12,2019,42840.952,2142047600,448012140
2020-01-01,37,1,2020,42785.736,2139286800,320893020
2020-02-01,38,2,2020,38458.896,1922944800,288441720
2020-03-01,39,3,2020,41679.512,2083975600,312596340
2020-04-01,40,4,2020,39297.132,1964856600,294728490
2020-05-01,41,5,2020,38331.328,1916566400,400974960
2020-06-01,42,6,2020,39944.781,1997239050,417560857
2020-07-01,43,7,2020,41369.636,2068481800,433167270
2020-08-01,44,8,2020,41294.428,2064721400,431898210
2020-09-01,45,9,2020,41191.136,2059556800,430688520
2020-10-01,46,10,2020,41938.39,2096919500,439127925
2020-11-01,47,11,2020,40327.672,2016383600,422247540
2020-12-01,48,12,2020,42042.7,2102135000,439925250
2021-01-01,49,1,2021,41060.712,2053035600,428465340
2021-02-01,50,2,2021,37494.044,1874702200,389775330
2021-03-01,51,3,2021,40727.04,2036352000,423682800
2021-04-01,52,4,2021,39645.088,1982254400,412253160
2021-05-01,53,5,2021,38754.492,1937724600,402513690
2021-06-01,54,6,2021,38909.668,1945483400,403902510
2021-07-01,55,7,2021,40678.484,2033924200,422163630
2021-08-01,56,8,2021,40889.352,2044467600,423970140
2021-09-01,57,9,2021,39727.436,1986371800,412615770
2021-10-01,58,10,2021,39933.068,1996653400,415463010
2021-11-01,59,11,2021,32962.524,1648126200,340218930
2021-12-01,60,12,2021,36221.22,1811061000,376089150
